"id","ja","en","de","fr","ko","zh-cn"
"1","あくしゅう","stench","duftnote","puanteur","악취","惡臭"
"2","あめふらし","drizzle","niesel","crachin","잔비","降雨"
"3","かそく","speed-boost","temposchub","turbo","가속","加速"
"4","カブトアーマー","battle-armor","kampfpanzer","armurbaston","전투-무장","戰鬥盔甲"
"5","がんじょう","sturdy","robustheit","fermeté","옹골참","結實"
"6","しめりけ","damp","feuchtigkeit","moiteur","습기","濕氣"
"7","じゅうなん","limber","flexibilität","échauffement","유연","柔軟"
"8","すながくれ","sand-veil","sandschleier","voile-sable","모래숨기","沙隱"
"9","せいでんき","static","statik","statik","정전기","靜電"
"10","ちくでん","volt-absorb","voltabsorber","absorb-volt","축전","蓄電"
"11","ちょすい","water-absorb","h2o-absorber","absorb-eau","저수","儲水"
"12","どんかん","oblivious","dösigkeit","benêt","둔감","遲鈍"
"13","ノーてんき","cloud-nine","wolke-sieben","ciel-gris","날씨-부정","無關天氣"
"14","ふくがん","compound-eyes","facettenauge","œil-composé","복안","複眼"
"15","ふみん","insomnia","insomnia","insomnia","불면","不眠"
"16","へんしょく","color-change","farbwechsel","déguisement","변색","變色"
"17","めんえき","immunity","immunität","vaccin","면역","免疫"
"18","もらいび","flash-fire","feuerfänger","torche","타오르는-불꽃","引火"
"19","りんぷん","shield-dust","puderabwehr","écran-poudre","인분","鱗粉"
"20","マイペース","own-tempo","tempomacher","tempo-perso","마이페이스","我行我素"
"21","きゅうばん","suction-cups","saugnapf","ventouse","흡반","吸盤"
"22","いかく","intimidate","bedroher","intimidation","위협","威嚇"
"23","かげふみ","shadow-tag","wegsperre","marque-ombre","그림자-밟기","踩影"
"24","さめはだ","rough-skin","rauhaut","peau-dure","까칠한-피부","粗糙皮膚"
"25","ふしぎなまもり","wonder-guard","wunderwache","garde-mystik","불가사의-부적","神奇守護"
"26","ふゆう","levitate","schwebe","lévitation","부유","飄浮"
"27","ほうし","effect-spore","sporenwirt","pose-spore","포자","孢子"
"28","シンクロ","synchronize","synchro","synchro","싱크로","同步"
"29","クリアボディ","clear-body","neutraltorso","corps-sain","클리어-바디","恆淨之軀"
"30","しぜんかいふく","natural-cure","innere-kraft","médic-nature","자연회복","自然回復"
"31","ひらいしん","lightning-rod","blitzfänger","paratonnerre","피뢰침","避雷針"
"32","てんのめぐみ","serene-grace","edelmut","sérénité","하늘의-은총","天恩"
"33","すいすい","swift-swim","wassertempo","glissade","쓱쓱","悠游自如"
"34","ようりょくそ","chlorophyll","chlorophyll","chlorophylle*","엽록소","葉綠素"
"35","はっこう","illuminate","erleuchtung","lumiattirance","발광","發光"
"36","トレース","trace","fährte","calque","트레이스","複製"
"37","ちからもち","huge-power","kraftkoloss","coloforce","천하장사","大力士"
"38","どくのトゲ","poison-point","giftdorn","point-poison","독가시","毒刺"
"39","せいしんりょく","inner-focus","konzentrator","attention","정신력","精神力"
"40","マグマのよろい","magma-armor","magmapanzer","armumagma","마그마의-무장","熔岩鎧甲"
"41","みずのベール","water-veil","aquahülle","ignifu-voile","수의-베일","水幕"
"42","じりょく","magnet-pull","magnetfalle","magnépiège","자력","磁力"
"43","ぼうおん","soundproof","lärmschutz","anti-bruit","방음","隔音"
"44","あめうけざら","rain-dish","regengenuss","cuvette","젖은접시","雨盤"
"45","すなおこし","sand-stream","sandsturm","sable-volant","모래날림","揚沙"
"46","プレッシャー","pressure","erzwinger","pression","프레셔","壓迫感"
"47","あついしぼう","thick-fat","speckschicht","isograisse","두꺼운-지방","厚脂肪"
"48","はやおき","early-bird","frühwecker","matinal","일찍-기상","早起"
"49","ほのおのからだ","flame-body","flammkörper","corps-ardent","불꽃몸","火焰之軀"
"50","にげあし","run-away","angsthase","fuite","도주","逃跑"
"51","するどいめ","keen-eye","adlerauge","regard-vif","날카로운-눈","銳利目光"
"52","かいりきバサミ","hyper-cutter","scherenmacht","hyper-cutter","괴력집게","怪力鉗"
"53","ものひろい","pickup","mitnahme","ramassage","픽업","撿拾"
"54","なまけ","truant","schnarchnase","absentéisme","게으름","懶惰"
"55","はりきり","hustle","übereifer","agitation","의욕","活力"
"56","メロメロボディ","cute-charm","charmebolzen","joli-sourire","헤롱헤롱-바디","迷人之軀"
"57","プラス","plus","plus","plus","플러스","正電"
"58","マイナス","minus","minus","minus","마이너스","負電"
"59","てんきや","forecast","prognose","météo","기분파","陰晴不定"
"60","ねんちゃく","sticky-hold","wertehalter","glue","점착","黏著"
"61","だっぴ","shed-skin","expidermis","mue","탈피","蛻皮"
"62","こんじょう","guts","adrenalin","cran","근성","毅力"
"63","ふしぎなうろこ","marvel-scale","notschutz","écaille-spéciale*","이상한-비늘","神奇鱗片"
"64","ヘドロえき","liquid-ooze","kloakensoße","suintement","해감액","污泥漿"
"65","しんりょく","overgrow","notdünger","engrais","심록","茂盛"
"66","もうか","blaze","großbrand","brasier","맹화","猛火"
"67","げきりゅう","torrent","sturzbach","torrent","급류","激流"
"68","むしのしらせ","swarm","hexaplaga","essaim","벌레의-알림","蟲之預感"
"69","いしあたま","rock-head","steinhaupt","tête-de-roc","돌머리","堅硬腦袋"
"70","ひでり","drought","dürre","sécheresse","가뭄","日照"
"71","ありじごく","arena-trap","ausweglos","piège-sable*","개미지옥","沙穴"
"72","やるき","vital-spirit","munterkeit","esprit-vital","의기양양","幹勁"
"73","しろいけむり","white-smoke","pulverrauch","écran-fumée","하얀연기","白色煙霧"
"74","ヨガパワー","pure-power","mentalkraft","force-pure","순수한힘","瑜伽之力"
"75","シェルアーマー","shell-armor","panzerhaut","coque-armure","조가비-갑옷","硬殼盔甲"
"--","そうおん","cacophony","energieaufladung","cacophonie","--","--"
"76","エアロック","air-lock","klimaschutz","air-lock","에어록","氣閘"
"77","ちどりあし","tangled-feet","fußangel","pieds-confus","갈지자걸음","蹣跚"
"78","でんきエンジン","motor-drive","starthilfe","motorisé","전기엔진","電氣引擎"
"79","とうそうしん","rivalry","rivalität","rivalité","투쟁심","鬥爭心"
"80","ふくつのこころ","steadfast","felsenfest","impassible","불굴의-마음","不屈之心"
"81","ゆきがくれ","snow-cloak","schneemantel","rideau-neige","눈숨기","雪隱"
"82","くいしんぼう","gluttony","völlerei","gloutonnerie","먹보","貪吃鬼"
"83","いかりのつぼ","anger-point","kurzschluss","colérique","분노의-경혈","憤怒穴位"
"84","かるわざ","unburden","entlastung","délestage","곡예","輕裝"
"85","たいねつ","heatproof","hitzeschutz","ignifugé","내열","耐熱"
"86","たんじゅん","simple","wankelmut","simple","단순","單純"
"87","かんそうはだ","dry-skin","trockenheit","peau-sèche","건조피부","乾燥皮膚"
"88","ダウンロード","download","download","télécharge","다운로드","下載"
"89","てつのこぶし","iron-fist","eisenfaust","poing-de-fer","철주먹","鐵拳"
"90","ポイズンヒール","poison-heal","aufheber","soin-poison","포이즌힐","毒療"
"91","てきおうりょく","adaptability","anpassung","adaptabilité","적응력","適應力"
"92","スキルリンク","skill-link","wertelink","multi-coups","스킬링크","連續攻擊"
"93","うるおいボディ","hydration","hydration","hydratation","촉촉바디","濕潤之軀"
"94","サンパワー","solar-power","solarkraft","force-soleil","선파워","太陽之力"
"95","はやあし","quick-feet","rasanz","pied-véloce","속보","飛毛腿"
"96","ノーマルスキン","normalize","regulierung","normalise","노말스킨","一般皮膚"
"97","スナイパー","sniper","superschütze","sniper","스나이퍼","狙擊手"
"98","マジックガード","magic-guard","magieschild","garde-magik","매직가드","魔法防守"
"99","ノーガード","no-guard","schildlos","annule-garde","노가드","無防守"
"100","あとだし","stall","zeitspiel","frein","시간벌기","慢出"
"101","テクニシャン","technician","techniker","technicien","테크니션","技術高手"
"102","リーフガード","leaf-guard","floraschild","feuille-garde*","리프가드","葉子防守"
"103","ぶきよう","klutz","tollpatsch","maladresse","서투름","笨拙"
"104","かたやぶり","mold-breaker","überbrückung","brise-moule","틀깨기","破格"
"105","きょううん","super-luck","glückspilz","chanceux","대운","超幸運"
"106","ゆうばく","aftermath","finalschlag","boom-final","유폭","引爆"
"107","きけんよち","anticipation","vorahnung","anticipation","위험예지","危險預知"
"108","よちむ","forewarn","vorwarnung","prédiction","예지몽","預知夢"
"109","てんねん","unaware","unkenntnis","inconscient","천진","純樸"
"110","いろめがね","tinted-lens","aufwertung","lentiteintée","색안경","有色眼鏡"
"111","フィルター","filter","filter","filtre","필터","過濾"
"112","スロースタート","slow-start","saumselig","début-calme","슬로스타트","慢啟動"
"113","きもったま","scrappy","rauflust","querelleur","배짱","膽量"
"114","よびみず","storm-drain","sturmsog","lavabo","마중물","引水"
"115","アイスボディ","ice-body","eishaut","corps-gel","아이스바디","冰凍之軀"
"116","ハードロック","solid-rock","felskern","solide-roc","하드록","堅硬岩石"
"117","ゆきふらし","snow-warning","hagelalarm","alerte-neige","눈퍼뜨리기","降雪"
"118","みつあつめ","honey-gather","honigmaul","cherche-miel","꿀모으기","採蜜"
"119","おみとおし","frisk","schnüffler","fouille","통찰","察覺"
"120","すてみ","reckless","achtlos","téméraire","이판사판","捨身"
"121","マルチタイプ","multitype","variabilität","multitype","멀티타입","多屬性"
"122","フラワーギフト","flower-gift","pflanzengabe","don-floral","플라워기프트","花之禮"
"123","ナイトメア","bad-dreams","alptraum","mauvais-rêve","나이트메어","夢魘"
"124","わるいてぐせ","pickpocket","langfinger","pickpocket","나쁜손버릇","順手牽羊"
