"number","ja","en","de","fr","ko","zh-cn","zh-tw"
"001","フシギダネ","bulbasaur","bisasam","bulbizarre","이상해씨","妙蛙种子","妙蛙種子"
"002","フシギソウ","ivysaur","bisaknosp","herbizarre","이상해풀","妙蛙草","妙蛙草"
"003","フシギバナ","venusaur","bisaflor","florizarre","이상해꽃","妙蛙花","妙蛙花"
"004","ヒトカゲ","charmander","glumanda","salameche","파이리","小火龙","小火龍"
"005","リザード","charmeleon","glutexo","reptincel","리자드","火恐龙","火恐龍"
"006","リザードン","charizard","glurak","dracaufeu","리자몽","喷火龙","噴火龍"
"007","ゼニガメ","squirtle","schiggy","carapuce","꼬부기","杰尼龟","傑尼龜"
"008","カメール","wartortle","schillok","carabaffe","어니부기","卡咪龟","卡咪龜"
"009","カメックス","blastoise","turtok","tortank","거북왕","水箭龟","水箭龜"
"010","キャタピー","caterpie","raupy","chenipan","캐터피","绿毛虫","綠毛蟲"
"011","トランセル","metapod","safcon","chrysacier","단데기","铁甲蛹","鐵甲蛹"
"012","バタフリー","butterfree","smettbo","papilusion","버터플","巴大蝶","巴大蝶"
"013","ビードル","weedle","hornliu","aspicot","뿔충이","独角虫","獨角蟲"
"014","コクーン","kakuna","kokuna","coconfort","딱충이","铁壳蛹","鐵殼蛹"
"015","スピアー","beedrill","bibor","dardagnan","독침붕","大针蜂","大針蜂"
"016","ポッポ","pidgey","taubsi","roucool","구구","波波","波波"
"017","ピジョン","pidgeotto","tauboga","roucoups","피죤","比比鸟","比比鳥"
"018","ピジョット","pidgeot","tauboss","roucarnage","피죤투","大比鸟","大比鳥"
"019","コラッタ","rattata","rattfratz","rattata","꼬렛","小拉达","小拉達"
"020","ラッタ","raticate","rattikarl","rattatac","레트라","拉达","拉達"
"021","オニスズメ","spearow","habitak","piafabec","깨비참","烈雀","烈雀"
"022","オニドリル","fearow","ibitak","rapasdepic","깨비드릴조","大嘴雀","大嘴雀"
"023","アーボ","ekans","rettan","abo","아보","阿柏蛇","阿柏蛇"
"024","アーボック","arbok","arbok","arbok","아보크","阿柏怪","阿柏怪"
"025","ピカチュウ","pikachu","pikachu","pikachu","피카츄","皮卡丘","皮卡丘"
"026","ライチュウ","raichu","raichu","raichu","라이츄","雷丘","雷丘"
"027","サンド","sandshrew","sandan","sabelette","모래두지","穿山鼠","穿山鼠"
"028","サンドパン","sandslash","sandamer","sablaireau","고지","穿山王","穿山王"
"029","ニドラン♀","nidoran♀","nidoran♀","nidoran♀","니드런♀","尼多兰","尼多蘭"
"030","ニドリーナ","nidorina","nidorina","nidorina","니드리나","尼多娜","尼多娜"
"031","ニドクイン","nidoqueen","nidoqueen","nidoqueen","니드퀸","尼多后","尼多后"
"032","ニドラン♂","nidoran♂","nidoran♂","nidoran♂","니드런♂","尼多朗","尼多朗"
"033","ニドリーノ","nidorino","nidorino","nidorino","니드리노","尼多力诺","尼多力諾"
"034","ニドキング","nidoking","nidoking","nidoking","니드킹","尼多王","尼多王"
"035","ピッピ","clefairy","piepi","melofee","삐삐","皮皮","皮皮"
"036","ピクシー","clefable","pixi","melodelfe","픽시","皮可西","皮可西"
"037","ロコン","vulpix","vulpix","goupix","식스테일","六尾","六尾"
"038","キュウコン","ninetales","vulnona","feunard","나인테일","九尾","九尾"
"039","プリン","jigglypuff","pummeluff","rondoudou","푸린","胖丁","胖丁"
"040","プクリン","wigglytuff","knuddeluff","grodoudou","푸크린","胖可丁","胖可丁"
"041","ズバット","zubat","zubat","nosferapti","주뱃","超音蝠","超音蝠"
"042","ゴルバット","golbat","golbat","nosferalto","골뱃","大嘴蝠","大嘴蝠"
"043","ナゾノクサ","oddish","myrapla","mystherbe","뚜벅쵸","走路草","走路草"
"044","クサイハナ","gloom","duflor","ortide","냄새꼬","臭臭花","臭臭花"
"045","ラフレシア","vileplume","giflor","rafflesia","라플레시아","霸王花","霸王花"
"046","パラス","paras","paras","paras","파라스","派拉斯","派拉斯"
"047","パラセクト","parasect","parasek","parasect","파라섹트","派拉斯特","派拉斯特"
"048","コンパン","venonat","bluzuk","mimitoss","콘팡","毛球","毛球"
"049","モルフォン","venomoth","omot","aeromite","도나리","摩鲁蛾","摩魯蛾"
"050","ディグダ","diglett","digda","taupiqueur","디그다","地鼠","地鼠"
"051","ダグトリオ","dugtrio","digdri","triopikeur","닥트리오","三地鼠","三地鼠"
"052","ニャース","meowth","mauzi","miaouss","나옹","喵喵","喵喵"
"053","ペルシアン","persian","snobilikat","persian","페르시온","猫老大","貓老大"
"054","コダック","psyduck","enton","psykokwak","고라파덕","可达鸭","可達鴨"
"055","ゴルダック","golduck","entoron","akwakwak","골덕","哥达鸭","哥達鴨"
"056","マンキー","mankey","menki","ferosinge","망키","猴怪","猴怪"
"057","オコリザル","primeape","rasaff","colossinge","성원숭","火暴猴","火爆猴"
"058","ガーディ","growlithe","fukano","caninos","가디","卡蒂狗","卡蒂狗"
"059","ウインディ","arcanine","arkani","arcanin","윈디","风速狗","風速狗"
"060","ニョロモ","poliwag","quapsel","ptitard","발챙이","蚊香蝌蚪","蚊香蝌蚪"
"061","ニョロゾ","poliwhirl","quaputzi","tetarte","수륙챙이","蚊香君","蚊香君"
"062","ニョロボン","poliwrath","quappo","tartard","강챙이","蚊香泳士","蚊香泳士"
"063","ケーシィ","abra","abra","abra","캐이시","凯西","凱西"
"064","ユンゲラー","kadabra","kadabra","kadabra","윤겔라","勇基拉","勇基拉"
"065","フーディン","alakazam","simsala","alakazam","후딘","胡地","胡地"
"066","ワンリキー","machop","machollo","machoc","알통몬","腕力","腕力"
"067","ゴーリキー","machoke","maschock","machopeur","근육몬","豪力","豪力"
"068","カイリキー","machamp","machomei","mackogneur","괴력몬","怪力","怪力"
"069","マダツボミ","bellsprout","knofensa","chetiflor","모다피","喇叭芽","喇叭芽"
"070","ウツドン","weepinbell","ultrigaria","boustiflor","우츠동","口呆花","口呆花"
"071","ウツボット","victreebel","sarzenia","empiflor","우츠보트","大食花","大食花"
"072","メノクラゲ","tentacool","tentacha","tentacool","왕눈해","玛瑙水母","瑪瑙水母"
"073","ドククラゲ","tentacruel","tentoxa","tentacruel","독파리","毒刺水母","毒刺水母"
"074","イシツブテ","geodude","kleinstein","racaillou","꼬마돌","小拳石","小拳石"
"075","ゴローン","graveler","georok","gravalanch","데구리","隆隆石","隆隆石"
"076","ゴローニャ","golem","geowaz","grolem","딱구리","隆隆岩","隆隆岩"
"077","ポニータ","ponyta","ponita","ponyta","포니타","小火马","小火馬"
"078","ギャロップ","rapidash","gallopa","galopa","날쌩마","烈焰马","烈焰馬"
"079","ヤドン","slowpoke","flegmon","ramoloss","야돈","呆呆兽","呆呆獸"
"080","ヤドラン","slowbro","lahmus","flagadoss","야도란","呆壳兽","呆殼獸"
"081","コイル","magnemite","magnetilo","magneti","코일","小磁怪","小磁怪"
"082","レアコイル","magneton","magneton","magneton","레어코일","三合一磁怪","三合一磁怪"
"083","カモネギ","farfetch'd","porenta","canarticho","파오리","大葱鸭","大蔥鴨"
"084","ドードー","doduo","dodu","doduo","두두","嘟嘟","嘟嘟"
"085","ドードリオ","dodrio","dodri","dodrio","두트리오","嘟嘟利","嘟嘟利"
"086","パウワウ","seel","jurob","otaria","쥬쥬","小海狮","小海獅"
"087","ジュゴン","dewgong","jugong","lamantine","쥬레곤","白海狮","白海獅"
"088","ベトベター","grimer","sleima","tadmorv","질퍽이","臭泥","臭泥"
"089","ベトベトン","muk","sleimok","grotadmorv","질뻐기","臭臭泥","臭臭泥"
"090","シェルダー","shellder","muschas","kokiyas","셀러","大舌贝","大舌貝"
"091","パルシェン","cloyster","austos","crustabri","파르셀","刺甲贝","刺甲貝"
"092","ゴース","gastly","nebulak","fantominus","고오스","鬼斯","鬼斯"
"093","ゴースト","haunter","alpollo","spectrum","고우스트","鬼斯通","鬼斯通"
"094","ゲンガー","gengar","gengar","ectoplasma","팬텀","耿鬼","耿鬼"
"095","イワーク","onix","onix","onix","롱스톤","大岩蛇","大岩蛇"
"096","スリープ","drowzee","traumato","soporifik","슬리프","催眠貘","催眠貘"
"097","スリーパー","hypno","hypno","hypnomade","슬리퍼","引梦貘人","引夢貘人"
"098","クラブ","krabby","krabby","krabby","크랩","大钳蟹","大鉗蟹"
"099","キングラー","kingler","kingler","krabboss","킹크랩","巨钳蟹","巨鉗蟹"
"100","ビリリダマ","voltorb","voltobal","voltorbe","찌리리공","霹雳电球","霹靂電球"
"101","マルマイン","electrode","lektrobal","electrode","붐볼","顽皮雷弹","頑皮雷彈"
"102","タマタマ","exeggcute","owei","noeunoeuf","아라리","蛋蛋","蛋蛋"
"103","ナッシー","exeggutor","kokowei","noadkoko","나시","椰蛋树","椰蛋樹"
"104","カラカラ","cubone","tragosso","osselait","탕구리","卡拉卡拉","卡拉卡拉"
"105","ガラガラ","marowak","knogga","ossatueur","텅구리","嘎啦嘎啦","嘎啦嘎啦"
"106","サワムラー","hitmonlee","kicklee","kicklee","시라소몬","飞腿郎","飛腿郎"
"107","エビワラー","hitmonchan","nockchan","tygnon","홍수몬","快拳郎","快拳郎"
"108","ベロリンガ","lickitung","schlurp","excelangue","내루미","大舌头","大舌頭"
"109","ドガース","koffing","smogon","smogo","또가스","瓦斯弹","瓦斯彈"
"110","マタドガス","weezing","smogmog","smogogo","또도가스","双弹瓦斯","雙彈瓦斯"
"111","サイホーン","rhyhorn","rihorn","rhinocorne","뿔카노","独角犀牛","獨角犀牛"
"112","サイドン","rhydon","rizeros","rhinoferos","코뿌리","钻角犀兽","鑽角犀獸"
"113","ラッキー","chansey","chaneira","leveinard","럭키","吉利蛋","吉利蛋"
"114","モンジャラ","tangela","tangela","saquedeneu","덩구리","蔓藤怪","蔓藤怪"
"115","ガルーラ","kangaskhan","kangama","kangourex","캥카","袋兽","袋獸"
"116","タッツー","horsea","seeper","hypotrempe","쏘드라","墨海马","墨海馬"
"117","シードラ","seadra","seemon","hypocean","시드라","海刺龙","海刺龍"
"118","トサキント","goldeen","goldini","poissirene","콘치","角金鱼","角金魚"
"119","アズマオウ","seaking","golking","poissoroy","왕콘치","金鱼王","金魚王"
"120","ヒトデマン","staryu","sterndu","stari","별가사리","海星星","海星星"
"121","スターミー","starmie","starmie","staross","아쿠스타","宝石海星","寶石海星"
"122","バリヤード","mr. mime","pantimos","m.mime","마임맨","魔墙人偶","魔牆人偶"
"123","ストライク","scyther","sichlor","insecateur","스라크","飞天螳螂","飛天螳螂"
"124","ルージュラ","jynx","rossana","lippoutou","루주라","迷唇姐","迷唇姐"
"125","エレブー","electabuzz","elektek","elektek","에레브","电击兽","電擊獸"
"126","ブーバー","magmar","magmar","magmar","마그마","鸭嘴火兽","鴨嘴火獸"
"127","カイロス","pinsir","pinsir","scarabrute","쁘사이저","凯罗斯","凱羅斯"
"128","ケンタロス","tauros","tauros","tauros","켄타로스","肯泰罗","肯泰羅"
"129","コイキング","magikarp","karpador","magicarpe","잉어킹","鲤鱼王","鯉魚王"
"130","ギャラドス","gyarados","garados","leviator","갸라도스","暴鲤龙","暴鯉龍"
"131","ラプラス","lapras","lapras","lokhlass","라프라스","拉普拉斯","拉普拉斯"
"132","メタモン","ditto","ditto","metamorph","메타몽","百变怪","百變怪"
"133","イーブイ","eevee","evoli","evoli","이브이","伊布","伊布"
"134","シャワーズ","vaporeon","aquana","aquali","샤미드","水伊布","水伊布"
"135","サンダース","jolteon","blitza","voltali","쥬피썬더","雷伊布","雷伊布"
"136","ブースター","flareon","flamara","pyroli","부스터","火伊布","火伊布"
"137","ポリゴン","porygon","porygon","porygon","폴리곤","多边兽","多邊獸"
"138","オムナイト","omanyte","amonitas","amonita","암나이트","菊石兽","菊石獸"
"139","オムスター","omastar","amoroso","amonistar","암스타","多刺菊石兽","多刺菊石獸"
"140","カブト","kabuto","kabuto","kabuto","투구","化石盔","化石盔"
"141","カブトプス","kabutops","kabutops","kabutops","투구푸스","镰刀盔","鐮刀盔"
"142","プテラ","aerodactyl","aerodactyl","ptera","프테라","化石翼龙","化石翼龍"
"143","カビゴン","snorlax","relaxo","ronflex","잠만보","卡比兽","卡比獸"
"144","フリーザー","articuno","arktos","artikodin","프리져","急冻鸟","急凍鳥"
"145","サンダー","zapdos","zapdos","electhor","썬더","闪电鸟","閃電鳥"
"146","ファイヤー","moltres","lavados","sulfura","파이어","火焰鸟","火焰鳥"
"147","ミニリュウ","dratini","dratini","minidraco","미뇽","迷你龙","迷你龍"
"148","ハクリュー","dragonair","dragonir","draco","신뇽","哈克龙","哈克龍"
"149","カイリュー","dragonite","dragoran","dracolosse","망나뇽","快龙","快龍"
"150","ミュウツー","mewtwo","mewtu","mewtwo","뮤츠","超梦","超夢"
"151","ミュウ","mew","mew","mew","뮤","梦幻","夢幻"
"152","チコリータ","chikorita","endivie","germignon","치코리타","菊草叶","菊草葉"
"153","ベイリーフ","bayleef","lorblatt","macronium","베이리프","月桂叶","月桂葉"
"154","メガニウム","meganium","meganie","meganium","메가니움","大竺葵","大竺葵"
"155","ヒノアラシ","cyndaquil","feurigel","hericendre","브케인","火球鼠","火球鼠"
"156","マグマラシ","quilava","igelavar","feurisson","마그케인","火岩鼠","火岩鼠"
"157","バクフーン","typhlosion","tornupto","typhlosion","블레이범","火暴兽","火爆獸"
"158","ワニノコ","totodile","karnimani","kaiminus","리아코","小锯鳄","小鋸鱷"
"159","アリゲイツ","croconaw","tyracroc","crocrodil","엘리게이","蓝鳄","藍鱷"
"160","オーダイル","feraligatr","impergator","aligatueur","장크로다일","大力鳄","大力鱷"
"161","オタチ","sentret","wiesor","fouinette","꼬리선","尾立","尾立"
"162","オオタチ","furret","wiesenior","fouinar","다꼬리","大尾立","大尾立"
"163","ホーホー","hoothoot","hoothoot","hoothoot","부우부","咕咕","咕咕"
"164","ヨルノズク","noctowl","noctuh","noarfang","야부엉","猫头夜鹰","貓頭夜鷹"
"165","レディバ","ledyba","ledyba","coxy","레디바","芭瓢虫","芭瓢蟲"
"166","レディアン","ledian","ledian","coxyclaque","레디안","安瓢虫","安瓢蟲"
"167","イトマル","spinarak","webarak","mimigal","페이검","圆丝蛛","圓絲蛛"
"168","アリアドス","ariados","ariados","migalos","아리아도스","阿利多斯","阿利多斯"
"169","クロバット","crobat","iksbat","nostenfer","크로뱃","叉字蝠","叉字蝠"
"170","チョンチー","chinchou","lampi","loupio","초라기","灯笼鱼","燈籠魚"
"171","ランターン","lanturn","lanturn","lanturn","랜턴","电灯怪","電燈怪"
"172","ピチュー","pichu","pichu","pichu","피츄","皮丘","皮丘"
"173","ピィ","cleffa","pii","melo","삐","皮宝宝","皮寶寶"
"174","ププリン","igglybuff","fluffeluff","toudoudou","푸푸린","宝宝丁","寶寶丁"
"175","トゲピー","togepi","togepi","togepi","토게피","波克比","波克比"
"176","トゲチック","togetic","togetic","togetic","토게틱","波克基古","波克基古"
"177","ネイティ","natu","natu","natu","네이티","天然雀","天然雀"
"178","ネイティオ","xatu","xatu","xatu","네이티오","天然鸟","天然鳥"
"179","メリープ","mareep","voltilamm","wattouat","메리프","咩利羊","咩利羊"
"180","モココ","flaaffy","waaty","lainergie","보송송","茸茸羊","茸茸羊"
"181","デンリュウ","ampharos","ampharos","pharamp","전룡","电龙","電龍"
"182","キレイハナ","bellossom","blubella","joliflor","아르코","美丽花","美麗花"
"183","マリル","marill","marill","marill","마릴","玛力露","瑪力露"
"184","マリルリ","azumarill","azumarill","azumarill","마릴리","玛力露丽","瑪力露麗"
"185","ウソッキー","sudowoodo","mogelbaum","simularbre","꼬지모","树才怪","樹才怪"
"186","ニョロトノ","politoed","quaxo","tarpaud","왕구리","蚊香蛙皇","蚊香蛙皇"
"187","ハネッコ","hoppip","hoppspross","granivol","통통코","毽子草","毽子草"
"188","ポポッコ","skiploom","hubelupf","floravol","두코","毽子花","毽子花"
"189","ワタッコ","jumpluff","papungha","cotovol","솜솜코","毽子棉","毽子棉"
"190","エイパム","aipom","griffel","capumain","에이팜","长尾怪手","長尾怪手"
"191","ヒマナッツ","sunkern","sonnkern","tournegrin","해너츠","向日种子","向日種子"
"192","キマワリ","sunflora","sonnflora","heliatronc","해루미","向日花怪","向日花怪"
"193","ヤンヤンマ","yanma","yanma","yanma","왕자리","蜻蜻蜓","蜻蜻蜓"
"194","ウパー","wooper","felino","axoloto","우파","乌波","烏波"
"195","ヌオー","quagsire","morlord","maraiste","누오","沼王","沼王"
"196","エーフィ","espeon","psiana","mentali","에브이","太阳伊布","太陽伊布"
"197","ブラッキー","umbreon","nachtara","noctali","블래키","月亮伊布","月亮伊布"
"198","ヤミカラス","murkrow","kramurx","cornebre","니로우","黑暗鸦","黑暗鴉"
"199","ヤドキング","slowking","laschoking","roigada","야도킹","呆呆王","呆呆王"
"200","ムウマ","misdreavus","traunfugil","feuforeve","무우마","梦妖","夢妖"
"201","アンノーン","unown","icognito","zarbi","안농","未知图腾","未知圖騰"
"202","ソーナンス","wobbuffet","woingenau","qulbutoke","마자용","果然翁","果然翁"
"203","キリンリキ","girafarig","girafarig","girafarig","키링키","麒麟奇","麒麟奇"
"204","クヌギダマ","pineco","tannza","pomdepic","피콘","榛果球","榛果球"
"205","フォレトス","forretress","forstellka","foretress","쏘콘","佛烈托斯","佛烈托斯"
"206","ノコッチ","dunsparce","dummisel","insolourdo","노고치","土龙弟弟","土龍弟弟"
"207","グライガー","gligar","skorgla","scorplane","글라이거","天蝎","天蠍"
