"id","ja","en","de","fr","ko","zh-cn"
"1","ノーマル","normal","","","",""
"2","かくとう","fighting","","","",""
"3","ひこう","flying","","","",""
"4","どく","poison","","","",""
"5","じめん","ground","","","",""
"6","いわ","rock","","","",""
"7","むし","bug","","","",""
"8","ゴースト","ghost","","","",""
"9","はがね","steel","","","",""
"10","ほのお","fire","","","",""
"11","みず","water","","","",""
"12","くさ","grass","","","",""
"13","でんき","electric","","","",""
"14","エスパー","psychic","","","",""
"15","こおり","ice","","","",""
"16","ドラゴン","dragon","","","",""
"17","あく","dark","","","",""
"18","フェアリー","fairy","","","",""
